"ComputerName","Group","MemberName","MemberType"
"desktop-8gv339d","Administratoren","DESKTOP-8GV339D\Administrator","Benutzer"
"desktop-8gv339d","Administratoren","DESKTOP-8GV339D\kirchner","Benutzer"
"desktop-8gv339d","Administratoren","STADTHAGEN\Domänen-Admins","Gruppe"
"desktop-8gv339d","Administratoren","STADTHAGEN\fel841","Benutzer"
"desktop-8gv339d","Administratoren","STADTHAGEN\moses","Benutzer"
"desktop-8gv339d","Benutzer","NT-AUTORITÄT\Authentifizierte Benutzer","Gruppe"
"desktop-8gv339d","Benutzer","NT-AUTORITÄT\INTERAKTIV","Gruppe"
"desktop-8gv339d","Benutzer","STADTHAGEN\Domänen-Benutzer","Gruppe"
"kgt-hb-mey-2022","Administratoren","KGT-HB-MEY-2022\Administrator","Benutzer"
"kgt-hb-mey-2022","Administratoren","KGT-HB-MEY-2022\kirchner","Benutzer"
"kgt-hb-mey-2022","Administratoren","STADTHAGEN\Domänen-Admins","Gruppe"
"kgt-hb-mey-2022","Benutzer","NT-AUTORITÄT\Authentifizierte Benutzer","Gruppe"
"kgt-hb-mey-2022","Benutzer","NT-AUTORITÄT\INTERAKTIV","Gruppe"
"kgt-hb-mey-2022","Benutzer","STADTHAGEN\Domänen-Benutzer","Gruppe"
"kgt-hb-tei031nb","Administratoren","KGT-HB-TEI031NB\Administrator","Benutzer"
"kgt-hb-tei031nb","Administratoren","KGT-HB-TEI031NB\Kirchner","Benutzer"
"kgt-hb-tei031nb","Administratoren","STADTHAGEN\Domänen-Admins","Gruppe"
"kgt-hb-tei031nb","Benutzer","NT-AUTORITÄT\Authentifizierte Benutzer","Gruppe"
"kgt-hb-tei031nb","Benutzer","NT-AUTORITÄT\INTERAKTIV","Gruppe"
"kgt-hb-tei031nb","Benutzer","STADTHAGEN\Domänen-Benutzer","Gruppe"
"kgt-ks-210301","Administratoren","KGT-KS-210301\Administrator","Benutzer"
"kgt-ks-210301","Administratoren","KGT-KS-210301\Kirchner","Benutzer"
"kgt-ks-210301","Administratoren","STADTHAGEN\Domänen-Admins","Gruppe"
"kgt-ks-210301","Administratoren","STADTHAGEN\leh703","Benutzer"
"kgt-ks-210301","Benutzer","NT-AUTORITÄT\Authentifizierte Benutzer","Gruppe"
"kgt-ks-210301","Benutzer","NT-AUTORITÄT\INTERAKTIV","Gruppe"
"kgt-ks-210301","Benutzer","STADTHAGEN\Domänen-Benutzer","Gruppe"
"kgt-l-160901","Administratoren","KGT-L-160901\Administrator","Benutzer"
"kgt-l-160901","Administratoren","KGT-L-160901\kirchner","Benutzer"
"kgt-l-160901","Administratoren","KGT-L-160901\vol012","Benutzer"
"kgt-l-160901","Administratoren","STADTHAGEN\Domänen-Admins","Gruppe"
"kgt-l-160901","Benutzer","KGT-L-160901\kirchner","Benutzer"
"kgt-l-160901","Benutzer","NT-AUTORITÄT\Authentifizierte Benutzer","Gruppe"
"kgt-l-160901","Benutzer","NT-AUTORITÄT\INTERAKTIV","Gruppe"
"kgt-l-160901","Benutzer","STADTHAGEN\Domänen-Benutzer","Gruppe"
"kgt-mi-201101","Administratoren","KGT-MI-201101\Administrator","Benutzer"
"kgt-mi-201101","Administratoren","KGT-MI-201101\kirchner","Benutzer"
"kgt-mi-201101","Administratoren","STADTHAGEN\Domänen-Admins","Gruppe"
"kgt-mi-201101","Benutzer","NT-AUTORITÄT\Authentifizierte Benutzer","Gruppe"
"kgt-mi-201101","Benutzer","NT-AUTORITÄT\INTERAKTIV","Gruppe"
"kgt-mi-201101","Benutzer","STADTHAGEN\Domänen-Benutzer","Gruppe"
"kgt-mi-201101","Benutzer","STADTHAGEN\praktikant","Benutzer"
"kgt-mi-230701","Administratoren","KGT-MI-230701\Administrator","Benutzer"
"kgt-mi-230701","Administratoren","KGT-MI-230701\kirchner","Benutzer"
"kgt-mi-230701","Administratoren","STADTHAGEN\bog874","Benutzer"
"kgt-mi-230701","Administratoren","STADTHAGEN\Domänen-Admins","Gruppe"
"kgt-mi-230701","Administratoren","STADTHAGEN\fel841","Benutzer"
"kgt-mi-230701","Benutzer","NT-AUTORITÄT\Authentifizierte Benutzer","Gruppe"
"kgt-mi-230701","Benutzer","NT-AUTORITÄT\INTERAKTIV","Gruppe"
"kgt-mi-230701","Benutzer","STADTHAGEN\Domänen-Benutzer","Gruppe"
"kgt-mi-bra821","Administratoren","KGT-MI-BRA821\Administrator","Benutzer"
"kgt-mi-bra821","Administratoren","KGT-MI-BRA821\kirchner","Benutzer"
"kgt-mi-bra821","Administratoren","STADTHAGEN\Domänen-Admins","Gruppe"
"kgt-mi-bra821","Benutzer","KGT-MI-BRA821\ASPNET","Benutzer"
"kgt-mi-bra821","Benutzer","NT-AUTORITÄT\Authentifizierte Benutzer","Gruppe"
"kgt-mi-bra821","Benutzer","NT-AUTORITÄT\INTERAKTIV","Gruppe"
"kgt-mi-bra821","Benutzer","STADTHAGEN\bra821","Benutzer"
"kgt-mi-bra821","Benutzer","STADTHAGEN\Domänen-Benutzer","Gruppe"
"kgt-mi-bul871","Administratoren","KGT-MI-BUL871\Administrator","Benutzer"
"kgt-mi-bul871","Administratoren","KGT-MI-BUL871\kirchner","Benutzer"
"kgt-mi-bul871","Administratoren","STADTHAGEN\Domänen-Admins","Gruppe"
